,summary,Impacts,Mitigation,Hazard,Causes,word
forscher schweiz,14.140608282381063,-0.010438626339860747,-0.004430131218543793,0.003951876537339882,0.012407668432107756,forscher schweiz
schweiz klein+es,11.238634467101798,-0.009537233368607923,-0.007603645025913898,0.00467791318596772,0.014549233342350707,schweiz klein+es
klein+es erdbeben,29.96567445815439,-0.012718646498698399,0.004097812107012989,0.0019496678260804924,0.006465153828826096,klein+es erdbeben
erdbeben aus+lös+en,72.57518742021807,-0.01455988903138675,0.011359518450919393,0.00020034262055833305,0.0012386490201568238,erdbeben aus+lös+en
aus+lös+en ein,14.942352851694285,-0.010637814835896365,-0.003712481596605882,0.0037861073822907953,0.011917608360741697,aus+lös+en ein
ein erd+stoß,16.042881238658225,-0.010885723080368226,-0.0028113210874260853,0.003577169979866119,0.01129938534932311,ein erd+stoß
erd+stoß magnitude,14.710272090826539,-0.012569224457376528,-0.00593485126937938,0.01000267801109126,0.01007895668781789,erd+stoß magnitude
unterirdischen,15.157454813107165,-0.010688450856410101,-0.003529129814206631,0.0037436660563892675,0.011792077754954361,unterirdischen
magnitude unterirdisch+en,10.127637318617548,-0.009085258482153207,-0.009148046913220388,0.005026837114757074,0.015575461160222692,magnitude unterirdisch+en
Forschungslabor,13.589164598247434,-0.010291068216751955,-0.004958009571169016,0.004073449449502447,0.012766821676935037,Forschungslabor
unterirdisch+en forschung+s+labor,13.589164598247434,-0.010291068216751955,-0.004958009571169016,0.004073449449502447,0.012766821676935037,unterirdisch+en forschung+s+labor
